domain,company_name,icp_match,vertical,persona_match,company_stage,ai_native_maturity,regulatory_data_exposure,agent_deployment_stage,geo_fit,size_fit,buyer_name,buyer_title,buyer_accessibility,wrong_fit_risk,score_total,score_breakdown,tier,reachability_notes,rationale,sources,confidence,first_seen,last_researched,status,outcome
2501.ai,2501.ai,ICP3,,3A,Adjacent,Strong,Implicit,Production agents,EU,Out of range,Alexandre Pereira,Co-founder & CEO,Named,true,70,icp_match=25;core_signal=20;size_fit=0;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=-10,Hot,CEO active on LinkedIn and podcasts; company has PR/press contact.,"Paris/Berlin-based agentic-AI startup, founded 2024, ~14 employees, ~€9.49-12M raised. Product is an 'AI OS' deploying autonomous agents that detect/diagnose/remediate IT/infra incidents with real write-actions, sold to finance/critical-infrastructure/government clients; SOC2 Type II and ISO 27001 certified. Genuine ICP3 signal but 2501.ai is primarily an agent-tooling/platform vendor itself (safety/guardrails focus), flagged wrong_fit_risk as potential peer/competitive read. Headcount (14) below target range - watchlist for growth.",https://www.2501.ai/; https://www.2501.ai/news/2501-ai-raises-9-3m-to-scale-autonomous-it-operations; https://www.2501.ai/news/2501-iso-27001,medium,2026-07-10,2026-07-10,watchlist,
agaton.ai,Agaton,ICP1,,1A,Adjacent,Strong,Implicit,Production agents,EU,In range (20-200),Andreas Kullberg,CEO & Co-founder,Named,false,95,icp_match=25;core_signal=20;size_fit=15;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO & Co-founder Andreas Kullberg publicly named via tech.eu funding coverage; team previously held leadership roles at Spotify, Tink, EF - plausible Nordic-tech warm-intro overlap.","Stockholm-based (EU) seed-stage ($10M/EUR9M, Alstin Capital) AI-native sales-intelligence startup. Proprietary Voice AI continuously analyses live sales/customer-service calls and operates as an autonomous 'AI co-worker' that takes real-time coaching and reporting actions across the sales stack for existing customers - strong ai_native_maturity and already-live agent_deployment_stage. ISO 27001 certified, pursuing ISO 42001/SOC2, GDPR-compliant handling of customer conversation data gives secondary ICP2 signal; autonomous action-taking also gives secondary ICP3 signal. Employee headcount not directly confirmed - estimated in-range from funding stage/team growth by analogy to comparable EU seed-stage AI companies.",https://www.agaton.ai/; https://www.agaton.ai/about-us; https://tech.eu/2026/02/19/agaton-raises-9-million-to-expand-its-ai-platform-for-sales-teams/,medium,2026-07-10,2026-07-10,active,
allo.restaurant,allO,ICP1,,1A,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Cancan Liu,Founder & CEO,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"Buyer publicly named (CEO) across multiple funding-announcement press outlets (EU-Startups, Hospitality Net, Munich Startup); no direct contact info published - no email/phone stored per policy.","AI-native restaurant OS (explicitly branded 'the first AI-native operating system for restaurants') now running a production voice agent that autonomously books reservations and places orders - a live, transacting AI surface. EUR12M/$14M Series A led by Zigg Capital (May 2026), ~62 employees, Munich (EU). Strong ICP1 fit; notable secondary ICP3 (agentic) signal given the live transacting agent and 10+ planned 'digital employees.'",https://www.hospitalitynet.org/news/4132593/allo-raises-14m-series-a-led-by-zigg-capital-to-scale-the-first-ai-native-operating-system-for-restaurants;https://www.eu-startups.com/2026/05/munichs-allo-raises-e12-million-series-a-to-expand-its-ai-operating-system-for-restaurants-across-europe/;https://www.munich-startup.de/en/121258/allo-raises-over-12-million-euros/;https://tracxn.com/d/companies/allo/__yeO4oXcT82HF61EvFq66x0TuAqF2ptrUxs8nT5wt_BA,high,2026-07-11,2026-07-11,active,
archlet.io,Archlet,ICP1,,1A,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Lukas Wawrla,Co-Founder & Managing Director,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"Founder is a public conference speaker (SIG, procurementsummit.eu) and podcast guest -- plausible event/warm-intro path, no channel-partner dependency identified.","AI-native eSourcing/eAuctions platform (Spark: 4 production agents for event setup, auction-format recommendation, scenario generation, bid analysis) -- strong ICP1 core-product fit. Secondary ICP3 signal from the multi-agent architecture, but ICP1 is primary since Archlet sells the AI-native platform rather than deploying agents internally. Zurich HQ, Series A ($12.8M total), ~32 employees (medium-confidence single-source headcount).",https://archlet.io/; https://archlet.io/company; https://archlet.io/about; https://theorg.com/org/archlet/org-chart/lukas-wawrla; https://getlatka.com/companies/archlet,medium,2026-07-15,2026-07-15,active,
bayshore.ai,Bayshore,ICP2,legaltech,2A,Adjacent,Strong,Explicit,Piloting/building,EU,Out of range,Philipp Wiegand,Chief Executive Officer & Co-founder,Named,false,80,icp_match=25;core_signal=20;size_fit=0;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO Philipp Wiegand and co-founder Paul F. Welter (Chief Legal Engineering Officer) both publicly named via German Impressum (legal disclosure) and funding press (Munich Startup, EU-Startups, TechFundingNews); active 'book a call' CTA on site.","Munich-based (EU) seed-stage ($8M/EUR6.9M, Earlybird-led) legaltech/compliance startup that recently exited stealth. Builds an AI 'front door' for enterprise legal & compliance decisioning, combining LLMs with deterministic rule sets derived directly from statutes/regulations for full auditability of every decision - explicit regulatory/compliance data exposure drives ICP2 classification (vertical: legaltech). Secondary ICP1 signal noted (AI-native agentic product with heavy audit-trail framing, which also carries mild peer/adjacent-narrative overlap with Blindsight's own auditability pitch). Team just exited stealth; size/stage likely still below target range.",https://www.bayshore.ai/; https://www.bayshore.ai/imprint; https://www.munich-startup.de/en/121433/bayshore-seed-financing/; https://www.eu-startups.com/2026/06/munichs-bayshore-exits-stealth-with-e6-9-million-to-automate-legal-and-compliance-workflows-with-ai/,medium,2026-07-10,2026-07-10,active,
blockbrain.ai,Blockbrain,ICP1,,1A,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Antonius Gress,CEO & Co-Founder,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO/co-founder named on company site About page and in Series A press coverage (EU-Startups, Startbase); no contact info scraped per policy (no LinkedIn/gated sources used).","Stuttgart-based Series A GenAI agent platform (~46 employees, EUR17.5M raised Feb 2026) whose Knowledge Bots run proprietary LLMs/RAG in production for named enterprise customers (Bosch, Roland Berger, Kaercher) -- strong ICP1 signal (AI runtime as unmonitored attack surface). Notable secondary ICP3 crossover given enterprise-grade AI agents positioning and configurable agent guardrails, but agents are knowledge/decision-support rather than transacting, so ICP1 is the stronger primary fit.",https://www.eu-startups.com/2026/02/german-genai-startup-blockbrain-lands-e17-5-million-to-advance-enterprise-grade-ai-agents/;https://blockbrain.ai/en/press/blockbrain-secures-%E2%82%AC17-5mn-series-a-funding-to-accelerate-responsible-ai-agents-against-company-knowledge-loss;https://blockbrain.ai/en/about;https://www.startbase.com/news/blockbrain-sichert-sich-175-mio-euro-serie-a,medium,2026-07-11,2026-07-11,active,
catenalabs.com,Catena Labs,ICP3,,3A,On-target,Strong,Explicit,Piloting/building,US,Out of range,Sean Neville,CEO & Co-Founder,Named,false,68,icp_match=25;core_signal=10;size_fit=0;company_stage=10;geo_fit=8;buyer_accessibility=15;wrong_fit_penalty=0,Warm,"Sean Neville (CEO, Circle/USDC co-founder) publicly named and active in press; Matt Venables (CTO, ex-Circle SVP) alternate technical contact.","Boston-based US company building an AI-native bank/financial infrastructure explicitly for AI agents to transact with human-defined guardrails (spending limits, payee restrictions, balance caps) - textbook ICP3 Authorization Broker fit. Raised $30M Series A (Acrew Capital, a16z crypto) on top of $18M seed; applying for OCC national trust bank charter (explicit regulatory exposure). Team is small (~9-15 people), below target size band, product in invite-only early access.",https://fortune.com/2026/05/20/catena-labs-series-a-sean-neville-ai-native-bank/; https://www.businesswire.com/news/home/20250520361792/en/Circle-Co-Founder-Sean-Neville-Takes-Catena-Labs-Out-of-Stealth-with-Plans-to-Build-the-First-AI-Native-Financial-Institution; https://catenalabs.com/team,high,2026-07-10,2026-07-10,watchlist,
conduct.ai,Conduct,ICP3,,3A,On-target,Strong,Implicit,Production agents,EU,In range (20-200),Jan Philipp Haas,Co-founder & CEO,Named,False,100,icp_match=25;core_signal=20;size_fit=15;company_stage=10;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"CEO named in press (Sifted, EU-Startups, Tech.eu); no direct contact info published — outreach via LinkedIn/company site likely required.","Ex-Palantir teams agentic AI OS executes autonomous actions (code changes, transformations) inside customers SAP/Salesforce/Oracle systems in production — strong ICP3 agentic-actions-in-production fit with secondary ICP1 AI-native-product signal (own LLM/agent stack shipping continuously); Series A, ~35 employees, London-based, named CEO buyer.",https://sifted.eu/articles/conduct-60m-series-a;https://www.eu-startups.com/2026/06/ex-palantir-team-behind-conduct-raises-e51-million-to-make-enterprise-systems-ai-ready/;https://tech.eu/2026/06/17/former-palantir-employees-raise-60m-for-ai-enterprise-startup-conduct/;https://conduct.ai/;https://conduct.ai/about;https://www.indexventures.com/perspectives/conduct-a-world-where-corporates-move-at-startup-speed/,high,2026-07-11,2026-07-11,watchlist,
conveo.ai,Conveo,ICP1,,1A,Adjacent,Strong,Implicit,Production agents,EU,In range (20-200),Dieter De Mesmaeker,CEO & Co-founder,Named,False,95,icp_match=25;core_signal=20;size_fit=15;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"No known conference/event overlap surfaced; buyers reachable via company site/press, no channel-partner dependency noted.","AI-native qualitative-research platform whose core product IS an autonomous agent (plans/probes live off video/audio/screen-share signals) in production for enterprise clients (P&G, Google, Unilever) - strong ICP1 fit on ai_native_maturity. EU HQ (Antwerp), ~75 employees, named CEO buyer (Dieter De Mesmaeker, ex-DataCamp founder) and CPO (Hendrik Van Hove, ex-McKinsey). Secondary ICP3 fit worth noting: the product itself is a live autonomous agent taking actions (dynamic interview probing) rather than an internal pilot, so this could also seed the agentic watchlist once Blindsight is prospecting there. Company stage reads Adjacent (seed/YC S24, $5.3-5.75M raised, not yet Series A).",https://conveo.ai/; https://conveo.ai/product; https://www.ycombinator.com/companies/conveo; https://www.ycombinator.com/companies/conveo/jobs; https://conveo.ai/insights/conveo-raises-5-3m-to-revolutionize-market-research-with-ai-powered-video-interviews; https://techfundingnews.com/belgian-ai-startup-conveo-secures-5-3m-to-scale-ai-powered-research-coworker-to-us-and-europe/; https://foundertrace.com/companies/conveo/; https://www.greenbook.org/company/Conveo-AI,medium,2026-07-15,2026-07-15,active,
cortea.ai,Cortea,ICP1,,1A,Adjacent,Strong,Explicit,Piloting/building,EU,Out of range,Valentin Neumann,Co-founder & CEO,Named,false,80,icp_match=25;core_signal=20;size_fit=0;company_stage=5;geo_fit=15;buyer_accessibility=15;wrong_fit_penalty=0,Hot,"Co-founder & CEO Valentin Neumann publicly named (Slush speaker profile, press); prominent named angel bench (ex-KPMG Global Head of Audit, DeepMind, Anthropic, ING) gives multiple warm-intro paths.","Berlin-based (EU) seed-stage ($12.9M/EUR12M, Dawn Capital) AI-native startup building 'Audit Quality Agents' - proprietary, traceable ('White Box') AI agents that review financial/IT audit evidence for audit firms, explicitly built for a heavily regulated domain (ISA/IFRS financial audits, banks). Strong secondary ICP2 signal (explicit regulated financial-audit data exposure); classified ICP1 primary given the AI-native/continuously-shipped-agent framing. Just launched product post-seed; team likely still small (<20), hence size_fit/company_stage flags.",https://www.cortea.ai/; https://www.cortea.ai/company; https://markets.businessinsider.com/news/stocks/cortea-raises-12m-to-help-audit-firms-adopt-ai-without-compromising-audit-quality-1036251987; https://slush.org/program/valentin-neumann,medium,2026-07-10,2026-07-10,active,
